id,name,points
1,"8 AM Metro",0
2,Beast,0
3,Badmaashi,0
4,"Bolna Tu Bantai",0
5,"Main Atal Hoon",0
6,Crakk,0
7,"Modern Love Chennai",0
8,"Stolen Dreams",0
9,"Honey 3.0",0
10,Fighter,0
11,Ghost,0
12,"Teri Baaton Mein Aisa Uljha Jiya",0
13,"Merry Christmas",0
14,Salaar,0
15,"Queen Of Hearts",0
16,Raah,0
17,"Annhi Dea Mazaak Ae",0
18,Raangi,0
19,Maamannan,0
20,"Modern Love Mumbai",0
21,"Pathu Thala",0
22,"Chandramukhi 2",0
23,"Mr And Mrs Narula",0
24,Maa,0
25,"White Panjab",0
26,"Himesh Ke Dil Se",0
27,"Sher Bagga",0
28,Jalwa,0
29,"Hustle 3",0
30,Chengiz,0
31,"Gandhi Godse Ek Yudh",0
32,Rocketry,0
33,"Ragni 18",0
34,Mandap,0
35,"Hustle 2.0",0
36,PR,0
37,"Adipurush Tamil",0
38,"Jugjugg Jeeyo",0
39,Lehmberginni,0
40,"Kade Dade Diyan Kade Pote Diyan",0
41,"D 2022",0
42,"Rani Haar",0
43,Varisu,0
44,"Varisu Hindi",0
45,Brahmastra,0
46,Leo,0
47,Jailer,0
48,"Vikrant Rona Hindi",0
49,"Macharla Chunaav Kshetra",0
50,"Leo Hindi",0
51,Ready,0
52,Rebel,0
53,Recall,0
54,"Heropanti 2",0
55,Remember,0
56,"Kaathuvaakula Rendu Kaadhal",0
57,"Any How Mitti Pao",0
58,"Mahaan - Tamil 2021",0
59,"Rise N Shine",0
60,Shaakuntalam,0
61,Robinhood,0
62,"Yutha Satham",0
63,"Kaali Sarhad",0
64,"Kulche Chole",0
65,"Roop Radhaa Kaa",0
66,"Rise Fall Rise",0
67,"Tiger 3",0
68,Qala,0
69,"Rukka Dhani Me",0
70,Sukoon,0
71,"Coffee With Kadhal",0
72,"Kali Jotta",0
73,"Love Today",0
74,"I Dont Care",0
75,Saah,0
76,Saanjh,0
77,Kaari,0
78,"Saans 2",0
79,"Sultan Of Delhi",0
80,"Accidental Farmer",0
81,"Bachchhan Paandey",0
82,"Drishyam 2",0
83,Babul,0
84,"Sabki Baaratein Aayi",0
85,"Udeekan Teriyan",0
86,"Sab Ton Sohna Reverb",0
87,"Sachi Muchi",0
88,"Industry 2",0
89,"Sadi Goodluck",0
90,Safety,0
91,"Aaja Mexico Challiye",0
92,"Sirf Ek Bandaa Kaafi Hai",0
93,"The Great Indian Family",0
94,"The UK07 Rider",0
95,"Tu Hi Yaar Mera",0
96,Sajna,0
97,"Godday Godday Chaa",0
98,"James Tamil",0
99,"Mere Husband Ki Shadi",0
100,LGM,0
101,MOH,0
102,"Mahi Mera Nikka Jeha",0
103,"3 AM Sessions",0
104,Yaanai,0
105,Sandal,0
106,"Gatta Kusthi",0
107,"Sang E Mah",0
108,"Look At Me",0
109,Prithviraj,0
110,Race,0
111,"Munda Southall Da",0
112,Bumper,0
113,Vajood,0
114,"The New Blood Bharateeyans",0
115,"New Life",0
116,"Sathya Sothanai",0
117,"Sathi Re",0
118,Animal,0
119,"Kick Tamil",0
120,"Sat Samundar",0
121,"Yaariyan 2",0
122,Neymar,0
123,Savidhan,0
124,"First Of A Kind",0
125,Maaveeran,0
126,Addiction,0
127,"August 16 1947",0
128,"Doli Saja Ke Rakhna Bhojpuri 2022",0
129,"Karumegangal Kalaigindrana",0
